"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1248","test_csat_submit_and_persists_across_reload","","2026-08-23","passed","2026-08-23","","test_csat","",""
"","661","test_export_csv_escapes_commas_and_quotes_in_titles","","2026-08-23","passed","2026-08-23","","test_csv_export","",""
"","981","test_select_all_selects_every_visible_row","","2026-08-23","passed","2026-08-23","","test_bulk_actions","",""
"","960","test_r_focuses_the_comment_box_on_ticket_detail","","2026-08-23","passed","2026-08-23","","test_keyboard_shortcuts","",""
"","500","test_bell_opens_dropdown_and_mark_all_read_closes_it","","2026-08-23","passed","2026-08-23","","test_notifications","",""
"","427","test_logout_clears_session_and_redirects_to_login","","2026-08-23","passed","2026-08-23","","test_auth","",""
"","875","test_new_ticket_form_suggests_matching_kb_articles","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","422","test_toggle_switches_theme_and_persists_across_reload","","2026-08-23","passed","2026-08-23","","test_theme","",""
"","841","test_admin_cannot_change_own_role","","2026-08-23","passed","2026-08-23","","test_admin","",""
"","425","test_status_pill_text_meets_aa_contrast","","2026-08-23","passed","2026-08-23","","test_accessibility","",""
"","352","test_viewing_a_nonexistent_article_shows_not_found","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","467","test_csat_prompt_hidden_for_agent","","2026-08-23","passed","2026-08-23","","test_csat","",""
"","850","test_export_csv_downloads_a_file_matching_the_current_filter","","2026-08-23","passed","2026-08-23","","test_csv_export","",""
"","391","test_agent_sees_all_tickets_in_queue","","2026-08-23","passed","2026-08-23","","test_tickets","",""
"","1073","test_audit_log_records_category_create_rename_delete","","2026-08-23","passed","2026-08-23","","test_audit_log","",""
"","478","test_category_filter_narrows_results","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","1551","test_user_can_create_ticket_and_see_it_in_my_tickets","","2026-08-23","passed","2026-08-23","","test_tickets","",""
"","1805","test_reset_token_cannot_be_reused","","2026-08-23","passed","2026-08-23","","test_password_reset","",""
"","100","test_non_staff_cannot_access_canned_responses_api","","2026-08-23","passed","2026-08-23","","test_canned_responses","",""
"","427","test_notification_bell_aria_expanded_reflects_dropdown_state","","2026-08-23","passed","2026-08-23","","test_accessibility","",""
"","1722","test_admin_can_promote_and_revert_a_user_role","","2026-08-23","passed","2026-08-23","","test_admin","",""
"","969","test_admin_can_add_rename_and_delete_category","","2026-08-23","passed","2026-08-23","","test_admin","",""
"","262","test_login_empty_fields_shows_client_side_error","","2026-08-23","passed","2026-08-23","","test_auth","",""
"","1702","test_activity_log_records_assignment_and_status_changes","","2026-08-23","passed","2026-08-23","","test_ticket_detail","",""
"","887","test_slash_focuses_the_search_box","","2026-08-23","passed","2026-08-23","","test_keyboard_shortcuts","",""
"","437","test_analytics_link_and_page_blocked_for_user_role","","2026-08-23","passed","2026-08-23","","test_analytics","",""
"","492","test_status_change_pushes_notification_badge_without_reload","","2026-08-23","passed","2026-08-23","","test_realtime","",""
"","634","test_reopen_button_only_shows_on_resolved_tickets","","2026-08-23","passed","2026-08-23","","test_ticket_detail","",""
"","958","test_cancel_setup_leaves_2fa_disabled","","2026-08-23","passed","2026-08-23","","test_two_factor_auth","",""
"","331","test_2fa_status_defaults_to_disabled","","2026-08-23","passed","2026-08-23","","test_two_factor_auth","",""
"","2028","test_audit_log_records_role_change_and_revert","","2026-08-23","passed","2026-08-23","","test_audit_log","",""
"","206","test_user_cannot_mark_a_ticket_as_duplicate_via_api","","2026-08-23","passed","2026-08-23","","test_ticket_merging","",""
"","1615","test_agent_can_change_ticket_status","","2026-08-23","passed","2026-08-23","","test_ticket_detail","",""
"","1156","test_register_new_user_and_land_on_dashboard","","2026-08-23","passed","2026-08-23","","test_auth","",""
"","2294","test_forgot_password_reset_and_login_end_to_end","","2026-08-23","passed","2026-08-23","","test_password_reset","",""
"","940","test_search_filters_ticket_queue","","2026-08-23","passed","2026-08-23","","test_tickets","",""
"","942","test_admin_cannot_create_duplicate_category","","2026-08-23","passed","2026-08-23","","test_admin","",""
"","2115","test_audit_log_records_sla_rule_update_and_revert","","2026-08-23","passed","2026-08-23","","test_audit_log","",""
"","423","test_theme_toggle_aria_label_reflects_the_action_it_performs","","2026-08-23","passed","2026-08-23","","test_accessibility","",""
"","876","test_csat_prompt_hidden_on_open_ticket","","2026-08-23","passed","2026-08-23","","test_csat","",""
"","390","test_regular_user_has_no_edit_controls_on_article_detail","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","409","test_new_ticket_requires_fields","","2026-08-23","passed","2026-08-23","","test_tickets","",""
"","430","test_search_input_shows_a_visible_focus_ring","","2026-08-23","passed","2026-08-23","","test_accessibility","",""
"","440","test_user_cannot_access_a_ticket_they_did_not_create","","2026-08-23","passed","2026-08-23","","test_ticket_detail","",""
"","1658","test_saved_views_are_scoped_per_user","","2026-08-23","passed","2026-08-23","","test_saved_views","",""
"","1135","test_comment_notifies_the_other_party_and_clicking_it_navigates_to_ticket","","2026-08-23","passed","2026-08-23","","test_notifications","",""
"","358","test_forgot_password_generic_message_for_unknown_email","","2026-08-23","passed","2026-08-23","","test_password_reset","",""
"","1629","test_pending_totp_token_rejected_as_bearer_token","","2026-08-23","passed","2026-08-23","","test_two_factor_auth","",""
"","260","test_no_stored_preference_follows_os_setting_without_setting_the_attribute","","2026-08-23","passed","2026-08-23","","test_theme","",""
"","998","test_j_and_k_move_row_focus","","2026-08-23","passed","2026-08-23","","test_keyboard_shortcuts","",""
"","1284","test_live_update_reaches_a_truly_separate_browser_session","","2026-08-23","passed","2026-08-23","","test_realtime","",""
"","1192","test_enabling_2fa_requires_the_correct_code","","2026-08-23","passed","2026-08-23","","test_two_factor_auth","",""
"","1200","test_reopening_a_duplicate_clears_the_link","","2026-08-23","passed","2026-08-23","","test_ticket_merging","",""
"","1321","test_agent_can_bulk_update_status_priority_and_assignment","","2026-08-23","passed","2026-08-23","","test_bulk_actions","",""
"","86","test_bulk_endpoint_rejects_non_staff","","2026-08-23","passed","2026-08-23","","test_bulk_actions","",""
"","325","test_admin_page_blocked_for_agent","","2026-08-23","passed","2026-08-23","","test_admin","",""
"","570","test_apply_with_no_fields_chosen_shows_an_error","","2026-08-23","passed","2026-08-23","","test_bulk_actions","",""
"","2459","test_agent_can_create_edit_and_delete_an_article","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","894","test_login_invalid_password_shows_error","","2026-08-23","passed","2026-08-23","","test_auth","",""
"","359","test_regular_user_sees_no_bulk_controls","","2026-08-23","passed","2026-08-23","","test_bulk_actions","",""
"","468","test_shortcuts_help_button_opens_overlay","","2026-08-23","passed","2026-08-23","","test_keyboard_shortcuts","",""
"","394","test_live_update_refresh_button_has_real_styling","","2026-08-23","passed","2026-08-23","","test_theme","",""
"","930","test_question_mark_opens_and_escape_closes_help_overlay","","2026-08-23","passed","2026-08-23","","test_keyboard_shortcuts","",""
"","1121","test_agent_can_post_comment","","2026-08-23","passed","2026-08-23","","test_ticket_detail","",""
"","895","test_login_success_redirects_to_dashboard","","2026-08-23","passed","2026-08-23","","test_auth","",""
"","603","test_register_existing_email_shows_error","","2026-08-23","passed","2026-08-23","","test_auth","",""
"","645","test_comment_pushes_live_update_banner_to_ticket_viewer","","2026-08-23","passed","2026-08-23","","test_realtime","",""
"","2","test_saved_views_rejects_unauthenticated_api_access","","2026-08-23","passed","2026-08-23","","test_saved_views","",""
"","1646","test_upload_and_download_attachment","","2026-08-23","passed","2026-08-23","","test_attachments","",""
"","581","test_cannot_mark_ticket_as_duplicate_of_itself","","2026-08-23","passed","2026-08-23","","test_ticket_merging","",""
"","439","test_save_view_requires_a_name","","2026-08-23","passed","2026-08-23","","test_saved_views","",""
"","1029","test_list_shows_seeded_articles_and_search_narrows_them","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","66","test_audit_log_rejects_agent_via_api","","2026-08-23","passed","2026-08-23","","test_audit_log","",""
"","401","test_analytics_loads_charts_for_agent","","2026-08-23","passed","2026-08-23","","test_analytics","",""
"","2333","test_disable_requires_the_correct_password","","2026-08-23","passed","2026-08-23","","test_two_factor_auth","",""
"","335","test_notification_badge_hidden_when_no_unread","","2026-08-23","passed","2026-08-23","","test_notifications","",""
"","1525","test_docs_try_it_out_executes_a_real_request","","2026-08-23","passed","2026-08-23","","test_api_docs","",""
"","474","test_theme_choice_persists_across_login_and_navigation","","2026-08-23","passed","2026-08-23","","test_theme","",""
"","472","test_admin_tabs_have_tab_roles_and_sync_aria_selected","","2026-08-23","passed","2026-08-23","","test_accessibility","",""
"","811","test_docs_page_renders_every_documented_operation","","2026-08-23","passed","2026-08-23","","test_api_docs","",""
"","597","test_overdue_ticket_gets_priority_escalated_once","","2026-08-23","passed","2026-08-23","","test_sla_escalation","",""
"","1114","test_new_ticket_appears_live_in_another_sessions_open_queue","","2026-08-23","passed","2026-08-23","","test_realtime","",""
"","503","test_new_article_button_visible_for_agent_hidden_for_user","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","1150","test_agent_can_select_tickets_and_bulk_bar_updates_count","","2026-08-23","passed","2026-08-23","","test_bulk_actions","",""
"","372","test_ticket_without_attachment_shows_none","","2026-08-23","passed","2026-08-23","","test_attachments","",""
"","562","test_enter_opens_the_focused_ticket","","2026-08-23","passed","2026-08-23","","test_keyboard_shortcuts","",""
"","1441","test_admin_can_add_edit_and_delete_a_canned_response","","2026-08-23","passed","2026-08-23","","test_canned_responses","",""
"","338","test_canned_response_select_hidden_for_regular_user","","2026-08-23","passed","2026-08-23","","test_canned_responses","",""
"","385","test_reset_with_invalid_token_shows_error","","2026-08-23","passed","2026-08-23","","test_password_reset","",""
"","475","test_notification_dropdown_hidden_by_default","","2026-08-23","passed","2026-08-23","","test_notifications","",""
"","304","test_user_cannot_access_article_form_directly","","2026-08-23","passed","2026-08-23","","test_knowledge_base","",""
"","2998","test_login_requires_totp_once_enabled","","2026-08-23","passed","2026-08-23","","test_two_factor_auth","",""
"","1192","test_agent_can_mark_ticket_as_duplicate_in_ui","","2026-08-23","passed","2026-08-23","","test_ticket_merging","",""
"","1353","test_save_apply_and_delete_a_view","","2026-08-23","passed","2026-08-23","","test_saved_views","",""
"","243","test_notification_also_sends_an_email","","2026-08-23","passed","2026-08-23","","test_notifications","",""
"","205","test_visiting_protected_page_without_session_redirects_to_login","","2026-08-23","passed","2026-08-23","","test_auth","",""
"","253","test_status_change_does_not_notify_the_agent_who_made_it","","2026-08-23","passed","2026-08-23","","test_notifications","",""
